# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	12159	13913	-							I6G39_00055	1755		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	12159	13913	-	QPT06118.1			ABC transporter ATP-binding protein			I6G39_00055	1755	584	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	13942	15396	-							I6G39_00060	1455		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	13942	15396	-	QPT06119.1			ABC transporter ATP-binding protein			I6G39_00060	1455	484	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	15393	16040	-							I6G39_00065	648		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	15393	16040	-	QPT07064.1			energy-coupling factor transporter transmembrane protein EcfT			I6G39_00065	648	215	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	16118	16696	-							I6G39_00070	579		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	16118	16696	-	QPT06120.1			MptD family putative ECF transporter S component			I6G39_00070	579	192	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	17545	17784	-							I6G39_00075	240		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	17545	17784	-	QPT06121.1			DUF3923 family protein			I6G39_00075	240	79	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	17941	18144	-							I6G39_00080	204		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	17941	18144	-	QPT06122.1			TM2 domain-containing protein			I6G39_00080	204	67	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	18262	18585	-							I6G39_00085	324		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	18262	18585	-	QPT06123.1			hypothetical protein			I6G39_00085	324	107	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	18672	20414	-							I6G39_00090	1743		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	18672	20414	-	QPT06124.1			ABC transporter ATP-binding protein			I6G39_00090	1743	580	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	20411	22192	-							I6G39_00095	1782		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	20411	22192	-	QPT06125.1			ABC transporter ATP-binding protein			I6G39_00095	1782	593	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	22546	23709	-							I6G39_00100	1164		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	22546	23709	-	QPT06126.1			NarK/NasA family nitrate transporter			I6G39_00100	1164	387	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	24213	24866	-							I6G39_00105	654		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	24213	24866	-				response regulator transcription factor			I6G39_00105	654		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	24869	25912	-							I6G39_00110	1044		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	24869	25912	-	QPT06127.1			sensor histidine kinase			I6G39_00110	1044	347	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	25930	26382	-							I6G39_00115	453		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	25930	26382	-	QPT06128.1			GAF domain-containing protein			I6G39_00115	453	150	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	26396	27076	-					narI		I6G39_00120	681		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	26396	27076	-	QPT06129.1			respiratory nitrate reductase subunit gamma	narI		I6G39_00120	681	226	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	27069	27644	-					narJ		I6G39_00125	576		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	27069	27644	-	QPT06130.1			nitrate reductase molybdenum cofactor assembly chaperone	narJ		I6G39_00125	576	191	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	27637	29190	-					narH		I6G39_00130	1554		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	27637	29190	-	QPT06131.1			nitrate reductase subunit beta	narH		I6G39_00130	1554	517	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	29180	32863	-							I6G39_00135	3684		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	29180	32863	-	QPT06132.1			nitrate reductase subunit alpha			I6G39_00135	3684	1227	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	33162	33992	-							I6G39_00140	831		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	33162	33992	-	QPT06133.1			CPBP family intramembrane metalloprotease			I6G39_00140	831	276	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	34032	34364	-							I6G39_00145	333		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	34032	34364	-	QPT06134.1			helix-turn-helix transcriptional regulator			I6G39_00145	333	110	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	34752	36578	-							I6G39_00150	1827		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	34752	36578	-	QPT06135.1			acetyltransferase			I6G39_00150	1827	608	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	36928	38421	+							I6G39_00155	1494		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	36928	38421	+	QPT06136.1			YSIRK-type signal peptide-containing protein			I6G39_00155	1494	497	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	38480	39175	+							I6G39_00160	696		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	38480	39175	+	QPT06137.1			LysM peptidoglycan-binding domain-containing protein			I6G39_00160	696	231	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	39395	40318	+							I6G39_00165	924		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	39395	40318	+	QPT06138.1			ABC transporter substrate-binding protein			I6G39_00165	924	307	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	40386	40859	-							I6G39_00170	474		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	40386	40859	-	QPT06139.1			DUF1440 domain-containing protein			I6G39_00170	474	157	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	41163	41390	+					tatA		I6G39_00175	228		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	41163	41390	+	QPT06140.1			twin-arginine translocase TatA/TatE family subunit	tatA		I6G39_00175	228	75	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	41398	42090	+					tatC		I6G39_00180	693		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	41398	42090	+	QPT07065.1			twin-arginine translocase subunit TatC	tatC		I6G39_00180	693	230	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	42254	43960	-							I6G39_00185	1707		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	42254	43960	-	QPT06141.1			FTR1 family protein			I6G39_00185	1707	568	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	43941	45167	-					efeB		I6G39_00190	1227		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	43941	45167	-	QPT06142.1			deferrochelatase/peroxidase EfeB	efeB		I6G39_00190	1227	408	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	45164	46033	-							I6G39_00195	870		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	45164	46033	-	QPT06143.1			EfeM/EfeO family lipoprotein			I6G39_00195	870	289	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	46416	46808	+							I6G39_00200	393		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	46416	46808	+	QPT06144.1			HIT family protein			I6G39_00200	393	130	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	47060	47158	+							I6G39_00205	99		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	47060	47158	+	QPT06145.1			type I toxin-antitoxin system Fst family toxin			I6G39_00205	99	32	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	47644	47994	+							I6G39_00210	351		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	47644	47994	+	QPT06146.1			DUF3139 domain-containing protein			I6G39_00210	351	116	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	48050	49210	-					nagA		I6G39_00215	1161		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	48050	49210	-	QPT06147.1			N-acetylglucosamine-6-phosphate deacetylase	nagA		I6G39_00215	1161	386	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	49242	49640	-							I6G39_00220	399		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	49242	49640	-	QPT06148.1			PTS fructose transporter subunit IIA			I6G39_00220	399	132	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	49658	50560	-							I6G39_00225	903		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	49658	50560	-	QPT06149.1			PTS system mannose/fructose/sorbose family transporter subunit IID			I6G39_00225	903	300	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	50547	51446	-							I6G39_00230	900		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	50547	51446	-	QPT06150.1			PTS sugar transporter subunit IIC			I6G39_00230	900	299	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	51459	51944	-							I6G39_00235	486		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	51459	51944	-	QPT06151.1			PTS sugar transporter subunit IIB			I6G39_00235	486	161	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	51957	53726	-							I6G39_00240	1770		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	51957	53726	-	QPT06152.1			beta-galactosidase			I6G39_00240	1770	589	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	53740	54684	-							I6G39_00245	945		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	53740	54684	-	QPT06153.1			tagatose 1,6-diphosphate aldolase			I6G39_00245	945	314	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	54681	55616	-							I6G39_00250	936		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	54681	55616	-	QPT06154.1			1-phosphofructokinase family hexose kinase			I6G39_00250	936	311	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	55622	56737	-							I6G39_00255	1116		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	55622	56737	-	QPT06155.1			SIS domain-containing protein			I6G39_00255	1116	371	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	56764	57474	-							I6G39_00260	711		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	56764	57474	-	QPT06156.1			GntR family transcriptional regulator			I6G39_00260	711	236	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	59084	59830	-							I6G39_00265	747		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	59084	59830	-	QPT06157.1			alpha/beta hydrolase			I6G39_00265	747	248	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	60141	60314	+							I6G39_00270	174		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	60141	60314	+	QPT06158.1			hypothetical protein			I6G39_00270	174	57	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	60358	61353	-							I6G39_00275	996		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	60358	61353	-	QPT06159.1			LacI family DNA-binding transcriptional regulator			I6G39_00275	996	331	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	61375	62328	-							I6G39_00280	954		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	61375	62328	-	QPT06160.1			metallophosphoesterase			I6G39_00280	954	317	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	62536	63366	-							I6G39_00285	831		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	62536	63366	-	QPT06161.1			hypothetical protein			I6G39_00285	831	276	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	63377	64480	-					ugpC		I6G39_00290	1104		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	63377	64480	-	QPT06162.1			sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC		I6G39_00290	1104	367	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	64506	65369	-							I6G39_00295	864		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	64506	65369	-	QPT06163.1			carbohydrate ABC transporter permease			I6G39_00295	864	287	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	65372	66268	-							I6G39_00300	897		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	65372	66268	-	QPT06164.1			sugar ABC transporter permease			I6G39_00300	897	298	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	66289	67566	-							I6G39_00305	1278		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	66289	67566	-	QPT06165.1			carbohydrate ABC transporter substrate-binding protein			I6G39_00305	1278	425	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	68122	69120	+							I6G39_00310	999		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	68122	69120	+				YheC/YheD family protein			I6G39_00310	999		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	69190	71004	-							I6G39_00315	1815		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	69190	71004	-	QPT06166.1			3-hydroxyacyl-CoA dehydrogenase			I6G39_00315	1815	604	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	71282	71455	+							I6G39_00320	174		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	71282	71455	+	QPT06167.1			hypothetical protein			I6G39_00320	174	57	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	71648	71911	-							I6G39_00325	264		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	71648	71911	-	QPT06168.1			hypothetical protein			I6G39_00325	264	87	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	72121	73113	-					bioB		I6G39_00330	993		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	72121	73113	-	QPT06169.1			biotin synthase BioB	bioB		I6G39_00330	993	330	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	73348	74552	-							I6G39_00335	1205		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	73348	74552	-				MFS transporter			I6G39_00335	1205		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	74604	75614	-							I6G39_00340	1011		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	74604	75614	-	QPT06170.1			NUDIX domain-containing protein			I6G39_00340	1011	336	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	75837	76931	-							I6G39_00345	1095		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	75837	76931	-	QPT06171.1			ABC transporter permease			I6G39_00345	1095	364	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	76928	77656	-							I6G39_00350	729		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	76928	77656	-	QPT06172.1			ABC transporter ATP-binding protein			I6G39_00350	729	242	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	77796	78362	+							I6G39_00355	567		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	77796	78362	+	QPT06173.1			TetR/AcrR family transcriptional regulator			I6G39_00355	567	188	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	78561	79013	-							I6G39_00360	453		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	78561	79013	-	QPT06174.1			hypothetical protein			I6G39_00360	453	150	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	78967	79761	-					cas10		I6G39_00365	795		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	78967	79761	-	QPT06175.1			type III-A CRISPR-associated protein Cas10/Csm1	cas10		I6G39_00365	795	264	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	79775	80080	-					cas2		I6G39_00370	306		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	79775	80080	-	QPT06176.1			CRISPR-associated endonuclease Cas2	cas2		I6G39_00370	306	101	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	80080	80986	-					cas1		I6G39_00375	907		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	80080	80986	-				type II CRISPR-associated endonuclease Cas1	cas1		I6G39_00375	907		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	81767	82969	+							I6G39_00380	1203		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	81767	82969	+	QPT06177.1			MFS transporter			I6G39_00380	1203	400	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	83044	84378	-							I6G39_00385	1335		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	83044	84378	-	QPT06178.1			hypothetical protein			I6G39_00385	1335	444	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	84365	86005	-							I6G39_00390	1641		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	84365	86005	-	QPT06179.1			DUF3578 domain-containing protein			I6G39_00390	1641	546	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	86133	87338	-							I6G39_00395	1206		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	86133	87338	-	QPT06180.1			hypothetical protein			I6G39_00395	1206	401	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	87409	88215	-							I6G39_00400	807		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	87409	88215	-	QPT06181.1			abortive infection family protein			I6G39_00400	807	268	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	88228	89391	-							I6G39_00405	1164		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	88228	89391	-	QPT06182.1			ATP-binding protein			I6G39_00405	1164	387	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	89612	91042	+							I6G39_00410	1431		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	89612	91042	+	QPT06183.1			hypothetical protein			I6G39_00410	1431	476	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	91168	92955	+							I6G39_00415	1788		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	91168	92955	+	QPT06184.1			DUF927 domain-containing protein			I6G39_00415	1788	595	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	93024	93299	+							I6G39_00420	276		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	93024	93299	+	QPT06185.1			recombinase family protein			I6G39_00420	276	91	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	93490	94839	+							I6G39_00425	1350		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	93490	94839	+				recombinase family protein			I6G39_00425	1350		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	94859	96484	+							I6G39_00430	1626		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	94859	96484	+	QPT06186.1			recombinase family protein			I6G39_00430	1626	541	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	96947	97297	+							I6G39_00435	351		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	96947	97297	+	QPT06187.1			hypothetical protein			I6G39_00435	351	116	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	97384	97695	+							I6G39_00440	312		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	97384	97695	+	QPT06188.1			hypothetical protein			I6G39_00440	312	103	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	97710	98213	+							I6G39_00445	504		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	97710	98213	+	QPT06189.1			DUF1643 domain-containing protein			I6G39_00445	504	167	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	98228	98449	+							I6G39_00450	222		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	98228	98449	+	QPT06190.1			hypothetical protein			I6G39_00450	222	73	
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	98702	99244	+							I6G39_00455	543		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	98702	99244	+				DUF1643 domain-containing protein			I6G39_00455	543		pseudo
gene	pseudogene	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	99385	99675	+							I6G39_00460	291		pseudo
CDS	without_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	99385	99675	+				hypothetical protein			I6G39_00460	291		pseudo
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	99817	100089	+							I6G39_00465	273		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	99817	100089	+	QPT06191.1			hypothetical protein			I6G39_00465	273	90	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	100123	100299	+							I6G39_00470	177		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	100123	100299	+	QPT06192.1			hypothetical protein			I6G39_00470	177	58	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	100551	100820	+							I6G39_00475	270		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	100551	100820	+	QPT07066.1			hypothetical protein			I6G39_00475	270	89	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	101530	102000	-							I6G39_00480	471		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	101530	102000	-	QPT06193.1			hypothetical protein			I6G39_00480	471	156	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	102024	102365	-							I6G39_00485	342		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	102024	102365	-	QPT06194.1			hypothetical protein			I6G39_00485	342	113	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	102404	103312	+							I6G39_00490	909		
