# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	14540	15232	+	QQA48540.1			AzlC family ABC transporter permease			JC286_00055	693	230	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	15229	15558	+							JC286_00060	330		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	15229	15558	+	QQA48541.1			AzlD domain-containing protein			JC286_00060	330	109	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	15813	16778	+							JC286_00065	966		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	15813	16778	+	QQA48542.1			alpha/beta fold hydrolase			JC286_00065	966	321	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	17010	17921	+							JC286_00070	912		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	17010	17921	+	QQA48543.1			DUF2232 domain-containing protein			JC286_00070	912	303	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	17926	19893	+							JC286_00075	1968		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	17926	19893	+	QQA48544.1			DHH family phosphoesterase			JC286_00075	1968	655	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	19890	20336	+					rplI		JC286_00080	447		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	19890	20336	+	QQA48545.1			50S ribosomal protein L9	rplI		JC286_00080	447	148	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	20797	22197	+					dnaB		JC286_00085	1401		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	20797	22197	+	QQA48546.1			replicative DNA helicase	dnaB		JC286_00085	1401	466	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	22569	23852	+							JC286_00090	1284		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	22569	23852	+	QQA48547.1			adenylosuccinate synthase			JC286_00090	1284	427	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	24071	24964	-							JC286_00095	894		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	24071	24964	-	QQA48548.1			YitT family protein			JC286_00095	894	297	
gene	tRNA	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25071	25145	+							JC286_00100	75		
tRNA		GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25071	25145	+				tRNA-Glu			JC286_00100	75		anticodon=TTC
gene	tRNA	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25152	25225	+							JC286_00105	74		
tRNA		GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25152	25225	+				tRNA-Asp			JC286_00105	74		anticodon=GTC
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25663	26001	+							JC286_00110	339		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	25663	26001	+	QQA48549.1			SdpI family protein			JC286_00110	339	112	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	26152	26853	+							JC286_00115	702		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	26152	26853	+	QQA48550.1			response regulator transcription factor			JC286_00115	702	233	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	26866	28698	+					walK		JC286_00120	1833		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	26866	28698	+	QQA48551.1			cell wall metabolism sensor histidine kinase WalK	walK		JC286_00120	1833	610	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	28688	30025	+							JC286_00125	1338		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	28688	30025	+	QQA48552.1			hypothetical protein			JC286_00125	1338	445	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	30022	30801	+							JC286_00130	780		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	30022	30801	+	QQA48553.1			two-component system regulatory protein YycI			JC286_00130	780	259	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	30824	31606	+							JC286_00135	783		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	30824	31606	+	QQA49648.1			MBL fold metallo-hydrolase			JC286_00135	783	260	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	32319	32798	+					rlmH		JC286_00140	480		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	32319	32798	+	QQA48554.1			23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		JC286_00140	480	159	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	32872	34341	+							JC286_00145	1470		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	32872	34341	+	QQA48555.1			DNA mismatch repair protein MutH			JC286_00145	1470	489	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	34444	35682	+					dcm		JC286_00150	1239		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	34444	35682	+	QQA48556.1			DNA (cytosine-5-)-methyltransferase	dcm		JC286_00150	1239	412	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	35785	36550	-					istB		JC286_00155	766		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	35785	36550	-				IS21-like element helper ATPase IstB	istB		JC286_00155	766		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	36550	37494	-					istA		JC286_00160	945		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	36550	37494	-	QQA49649.1			IS21 family transposase	istA		JC286_00160	945	314	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	38011	39180	+							JC286_00165	1170		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	38011	39180	+	QQA48557.1			DUF262 domain-containing protein			JC286_00165	1170	389	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	39707	41104	+							JC286_00170	1398		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	39707	41104	+	QQA48558.1			nucleotidyltransferase			JC286_00170	1398	465	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	41091	42011	+							JC286_00175	921		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	41091	42011	+	QQA48559.1			hypothetical protein			JC286_00175	921	306	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	42281	42511	+							JC286_00180	231		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	42281	42511	+	QQA48560.1			hypothetical protein			JC286_00180	231	76	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	42700	43126	-							JC286_00185	427		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	42700	43126	-				GNAT family N-acetyltransferase			JC286_00185	427		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	43364	43822	+							JC286_00190	459		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	43364	43822	+	QQA48561.1			hypothetical protein			JC286_00190	459	152	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	43836	44021	+							JC286_00195	186		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	43836	44021	+	QQA48562.1			hypothetical protein			JC286_00195	186	61	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	44491	45606	+							JC286_00200	1116		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	44491	45606	+	QQA48563.1			alanine dehydrogenase			JC286_00200	1116	371	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	45643	46683	+					tdcB		JC286_00205	1041		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	45643	46683	+	QQA48564.1			bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	tdcB		JC286_00205	1041	346	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	46716	48038	+							JC286_00210	1323		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	46716	48038	+	QQA48565.1			amino acid permease			JC286_00210	1323	440	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	48261	50309	+							JC286_00215	2049		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	48261	50309	+	QQA48566.1			copper-translocating P-type ATPase			JC286_00215	2049	682	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	50492	51064	+							JC286_00220	573		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	50492	51064	+	QQA48567.1			helix-turn-helix transcriptional regulator			JC286_00220	573	190	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	51584	52291	-							JC286_00225	708		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	51584	52291	-	QQA48568.1			GntR family transcriptional regulator			JC286_00225	708	235	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	52614	54056	+							JC286_00230	1443		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	52614	54056	+	QQA48569.1			6-phospho-beta-glucosidase			JC286_00230	1443	480	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	54911	57481	+							JC286_00235	2571		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	54911	57481	+	QQA48570.1			fibrinogen-binding adhesin SdrG C-terminal domain-containing protein			JC286_00235	2571	856	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	57818	59242	-							JC286_00240	1425		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	57818	59242	-	QQA48571.1			deoxyribodipyrimidine photo-lyase			JC286_00240	1425	474	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	59329	59679	-							JC286_00245	351		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	59329	59679	-	QQA48572.1			MerR family transcriptional regulator			JC286_00245	351	116	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	59757	60437	+							JC286_00250	681		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	59757	60437	+	QQA48573.1			type 1 glutamine amidotransferase domain-containing protein			JC286_00250	681	226	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	60462	61127	+							JC286_00255	666		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	60462	61127	+	QQA48574.1			SDR family oxidoreductase			JC286_00255	666	221	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	61131	62135	+							JC286_00260	1005		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	61131	62135	+	QQA48575.1			NADP-dependent oxidoreductase			JC286_00260	1005	334	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	62146	62502	+							JC286_00265	357		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	62146	62502	+	QQA48576.1			hypothetical protein			JC286_00265	357	118	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	62628	62824	+							JC286_00270	197		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	62628	62824	+				helix-turn-helix domain-containing protein			JC286_00270	197		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	63015	64148	+							JC286_00275	1134		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	63015	64148	+	QQA48577.1			Fic family protein			JC286_00275	1134	377	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	64714	65880	+							JC286_00280	1167		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	64714	65880	+	QQA48578.1			ArgE/DapE family deacylase			JC286_00280	1167	388	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	66128	66598	+							JC286_00285	471		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	66128	66598	+	QQA48579.1			peptide-methionine (S)-S-oxide reductase			JC286_00285	471	156	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	66761	67495	-							JC286_00290	735		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	66761	67495	-	QQA48580.1			NAD-dependent protein deacylase			JC286_00290	735	244	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	67960	68688	-							JC286_00295	729		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	67960	68688	-	QQA48581.1			Crp/Fnr family transcriptional regulator			JC286_00295	729	242	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	68707	69648	-					arcC		JC286_00300	942		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	68707	69648	-	QQA48582.1			carbamate kinase	arcC		JC286_00300	942	313	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	69664	71094	-					arcD		JC286_00305	1431		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	69664	71094	-	QQA48583.1			arginine-ornithine antiporter	arcD		JC286_00305	1431	476	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	71215	72222	-					argF		JC286_00310	1008		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	71215	72222	-	QQA48584.1			ornithine carbamoyltransferase	argF		JC286_00310	1008	335	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	72259	73494	-					arcA		JC286_00315	1236		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	72259	73494	-	QQA48585.1			arginine deiminase	arcA		JC286_00315	1236	411	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	73882	74361	+							JC286_00320	480		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	73882	74361	+	QQA48586.1			ArgR family transcriptional regulator			JC286_00320	480	159	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	74479	75351	+							JC286_00325	873		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	74479	75351	+	QQA48587.1			alpha/beta hydrolase			JC286_00325	873	290	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	75479	76081	-							JC286_00330	603		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	75479	76081	-	QQA48588.1			response regulator transcription factor			JC286_00330	603	200	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	76078	77178	-							JC286_00335	1101		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	76078	77178	-	QQA48589.1			sensor histidine kinase			JC286_00335	1101	366	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	77175	77906	-							JC286_00340	732		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	77175	77906	-	QQA48590.1			ABC transporter permease			JC286_00340	732	243	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	77903	78775	-							JC286_00345	873		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	77903	78775	-	QQA48591.1			ABC transporter ATP-binding protein			JC286_00345	873	290	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	79002	79325	-							JC286_00350	324		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	79002	79325	-	QQA48592.1			DUF4870 domain-containing protein			JC286_00350	324	107	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	79920	80753	+							JC286_00355	834		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	79920	80753	+	QQA48593.1			autolysin			JC286_00355	834	277	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	80808	81308	-							JC286_00360	501		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	80808	81308	-	QQA48594.1			DUF1440 domain-containing protein			JC286_00360	501	166	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	81691	82248	+							JC286_00365	558		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	81691	82248	+	QQA48595.1			NAD(P)H-dependent oxidoreductase			JC286_00365	558	185	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	82910	87241	+							JC286_00370	4332		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	82910	87241	+	QQA48596.1			YPDG domain-containing protein			JC286_00370	4332	1443	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	87443	87724	+							JC286_00375	282		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	87443	87724	+	QQA48597.1			hypothetical protein			JC286_00375	282	93	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	87735	87860	+							JC286_00380	126		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	87735	87860	+				transposase			JC286_00380	126		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	88188	89429	-							JC286_00385	1242		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	88188	89429	-	QQA48598.1			aminoacyltransferase			JC286_00385	1242	413	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	89728	90708	+							JC286_00390	981		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	89728	90708	+	QQA48599.1			LacI family DNA-binding transcriptional regulator			JC286_00390	981	326	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	90893	91969	+							JC286_00395	1077		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	90893	91969	+	QQA48600.1			Gfo/Idh/MocA family oxidoreductase			JC286_00395	1077	358	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	91991	93031	+							JC286_00400	1041		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	91991	93031	+	QQA48601.1			Gfo/Idh/MocA family oxidoreductase			JC286_00400	1041	346	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	93047	94015	+							JC286_00405	969		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	93047	94015	+	QQA48602.1			sugar phosphate isomerase/epimerase			JC286_00405	969	322	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	94062	95708	+							JC286_00410	1647		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	94062	95708	+	QQA49650.1			alpha-glucosidase			JC286_00410	1647	548	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	95853	96224	+							JC286_00415	372		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	95853	96224	+				hypothetical protein			JC286_00415	372		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	96276	97115	-							JC286_00420	840		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	96276	97115	-	QQA48603.1			sugar ABC transporter permease			JC286_00420	840	279	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	97117	98385	-							JC286_00425	1269		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	97117	98385	-	QQA48604.1			sugar ABC transporter permease			JC286_00425	1269	422	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	98400	99659	-							JC286_00430	1260		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	98400	99659	-	QQA48605.1			extracellular solute-binding protein			JC286_00430	1260	419	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	99672	100769	-					ugpC		JC286_00435	1098		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	99672	100769	-	QQA48606.1			sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC		JC286_00435	1098	365	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	101202	102374	-							JC286_00440	1173		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	101202	102374	-	QQA48607.1			cation:proton antiporter			JC286_00440	1173	390	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	102380	102865	-							JC286_00445	486		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	102380	102865	-	QQA48608.1			hypothetical protein			JC286_00445	486	161	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	103011	103454	+							JC286_00450	444		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	103011	103454	+	QQA48609.1			(4Fe-4S)-binding protein			JC286_00450	444	147	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	103470	104360	+							JC286_00455	891		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	103470	104360	+	QQA48610.1			VOC family protein			JC286_00455	891	296	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	104586	105776	+							JC286_00460	1191		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	104586	105776	+	QQA48611.1			MFS transporter			JC286_00460	1191	396	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	106008	106406	-							JC286_00465	399		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	106008	106406	-	QQA48612.1			IS3 family transposase			JC286_00465	399	132	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	106587	106919	-							JC286_00470	333		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	106587	106919	-				MFS transporter			JC286_00470	333		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	107054	107257	+							JC286_00475	204		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	107054	107257	+	QQA48613.1			hypothetical protein			JC286_00475	204	67	
gene	pseudogene	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	107329	108261	+							JC286_00480	933		pseudo
CDS	without_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	107329	108261	+				DMT family transporter			JC286_00480	933		pseudo
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	108358	109110	-							JC286_00485	753		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	108358	109110	-	QQA48614.1			amino acid transporter			JC286_00485	753	250	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	109112	109999	-							JC286_00490	888		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	109112	109999	-	QQA48615.1			ABC transporter ATP-binding protein			JC286_00490	888	295	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	110441	110935	-							JC286_00495	495		
